"Files","WordCount","HasLorem","HasHeader","HasFooter","HasMain","BrokenImagesCount","BrokenImagesList","InlineStylesCount"
"D:\Downloads Jan 26\new_TWC\new_TWC\about.html","1342","False","True","True","True","0","","90"
"D:\Downloads Jan 26\new_TWC\new_TWC\audit.html","484","False","True","False","False","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\case-studies.html","1605","False","True","True","True","0","","23"
"D:\Downloads Jan 26\new_TWC\new_TWC\clients.html","120","False","True","True","True","0","","1"
"D:\Downloads Jan 26\new_TWC\new_TWC\contact.html","397","False","True","True","True","0","","37"
"D:\Downloads Jan 26\new_TWC\new_TWC\index.html","2975","False","True","True","True","0","","101"
"D:\Downloads Jan 26\new_TWC\new_TWC\industries.html","893","False","True","True","True","0","","41"
"D:\Downloads Jan 26\new_TWC\new_TWC\privacy.html","552","False","True","True","True","0","","13"
"D:\Downloads Jan 26\new_TWC\new_TWC\services.html","1405","False","True","True","True","0","","81"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-04-semantic-search-optimization.html","1104","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-05-headless-cms-guide.html","1065","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-05-real-estate-local-seo.html","853","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-06-edtech-lead-generation.html","934","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-06-fintech-design-trends.html","1073","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-07-programmatic-advertising-guide.html","1221","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-07-server-side-tracking-guide.html","1003","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-08-ecommerce-category-seo.html","1038","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-08-google-ads-smart-bidding.html","1568","False","True","True","True","0","","20"
"D:\Downloads Jan 26\new_TWC\new_TWC\blog\2025-08-healthcare-patient-acquisition.html","926","False","True","True","True","0","","20"
