File,Status,IssueType,Details
index.html,Error,Broken Link,Target '../audit/' not found
about\index.html,Error,Corruption Marker Found,'href="#"'
audit\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-04-semantic-search-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-05-headless-cms-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-05-real-estate-local-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-06-edtech-lead-generation\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-06-fintech-design-trends\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-07-programmatic-advertising-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-07-server-side-tracking-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-ecommerce-category-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-google-ads-smart-bidding\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-08-healthcare-patient-acquisition\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-09-marketing-mix-modeling\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-09-meta-ads-scaling\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-10-hospitality-digital-trends\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-10-landing-page-psychology\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-11-international-seo-hreflang\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-11-retention-marketing-strategies\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-5-second-test-cro\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-aso-growth-guide\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-b2b-site-transformation-case-study\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-brand-search-volume-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-brochure-sites-leak-revenue\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-cognitive-load-clean-design\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-marketing-roi\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-pruning-seo\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-content-refresh-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-cookieless-performance-marketing\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-core-web-vitals-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-crawl-budget-explained\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-dark-mode-ui-accessibility\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-digital-pr-backlinks-strategy\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-ecommerce-conversion-optimization\index.html,Error,Corruption Marker Found,'href="#"'
blog\2025-12-eeat-google-seo-factor\index.html,Error,Corruption Marker Found,'href="#"'
